2019-08-05 03:48:30 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 15:58:59 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_03_58_59_PM/report.html
2019-08-05 15:59:06 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 15:59:14 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 15:59:21 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 15:59:28 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 15:59:35 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 15:59:38 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 15:59:39 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 16:07:25 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_04_07_25_PM/report.html
2019-08-05 16:07:28 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:07:36 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:07:43 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:07:50 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:07:54 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:07:57 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:07:58 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 16:08:54 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_04_08_54_PM/report.html
2019-08-05 16:08:58 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:09:05 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:09:12 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:09:19 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:09:22 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:09:23 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 16:10:05 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_04_10_05_PM/report.html
2019-08-05 16:10:08 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:10:16 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:10:24 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:10:30 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:10:37 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:10:40 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:10:41 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 16:11:24 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_04_11_24_PM/report.html
2019-08-05 16:11:27 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:11:35 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:11:41 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:11:48 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:11:52 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 16:11:53 [main] INFO  TestBase:110 - :: FLUSHING REPORT ::
2019-08-05 18:33:16 [main] INFO  TestBase:48 - Report path: /Users/johnzonsean/IdeaProjects/Spring2019FinalTestNGFramework/test-output/reports/2019_0805_06_33_16_PM/report.html
2019-08-05 18:33:21 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:33:29 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:33:36 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
2019-08-05 18:33:42 [main] INFO  TestBase:72 - URL: http://qa2.vytrack.com/user/login
